"UniqueID","Ten Co So Y Te","So Dien Thoai","Dia Chi","Hour","Rating","Gioi Thieu","Dich Vu","Bac Si","Chuyen Khoa","Loai Co So","Hinh Anh",
"H14647","Khoa Tai Mũi Họng - Răng Hàm Mặt - Mắt - Bệnh viện Đa khoa huyện Vĩnh Tường","0211 3839 150","Quốc lộ 2C, Vĩnh Tường, Vĩnh Tường, Vĩnh Phúc","","","","","DC000009","K24, K26, K20","T05","",
"H14648","Khoa Dược - Bệnh viện Đa khoa Thường Tín","0243 3852 942","Tỉnh Lộ 71 xóm Hạ, Thường Tín, Thường Tín, Hà Nội","","","","","","K09","T05","",
"H14649","Khoa Phụ khoa - Bệnh viện Kiến An","0225 3876 213","35 Trần Tất Văn, Phú Liễn, Kiến An, Hải Phòng","","","","","","","T05","H14649.jpg",
"H14650","Khoa Khám bệnh - Bệnh viện Đa khoa Thành An Thăng Long","","144 Nguyễn Văn Cừ, Ninh Xá, Bắc Ninh, Bắc Ninh","","","","","","K16","T05","",
"H14651","Khoa Phẫu thuật và Gây mê hồi sức - Bệnh viện C Đà Nẵng","0236 3821 480","122 Hải Phòng, Thạch Thang, Hải Châu, Đà Nẵng","","","","","DC000010","K14, K10","T05","",
"H14652","Khoa Nội Nhi Lây - Ki lô 9 Xuân Thủy","0243 7680 280","Ki lô 9 Xuân Thủy, Mai Dịch, Cầu Giấy, Hà Nội","","","","","","K21","T05","",
"H14653","Khoa Nội - Đông Y - Trung tâm Y tế huyện Cam Lâm","0258 3983 989","Tổ dân phố Bãi Giếng Trung, Cam Đức, Cam Lâm, Khánh Hòa","","","","","",", K40","T05","H14653.jpg",
"H14654","Khoa Ngoại - Hồi sức cấp cứu - Bệnh viện Đa khoa quận Hải An","0225 3625 363","190 Cát Bi, Cát Bi, Hải An, Hải Phòng","","","","","","K14","T05","H14654.jpg",
"H14655","Khoa Xét nghiệm - Bệnh viện Đa khoa khu vực Đầm Dơi","0290 3858 011","Khóm V, Đầm Dơi, Đầm Dơi, Cà Mau","","","","","","K39","T05","H14655.jpg",
"H14656","Khoa Y học cổ truyền - Bệnh viện Đa khoa khu vực Đầm Dơi","0290 3858 011","Khóm V, Đầm Dơi, Đầm Dơi, Cà Mau","","","","","","K40","T05","H14656.jpg",
"H14657","Khoa Lao - Bệnh viện Đa khoa tỉnh Vĩnh Long","0270 3823 520","301 Trần phú, 4, Vĩnh Long, Vĩnh Long","","","","","","K13, K36","T05","H14657.jpg",
"H14658","Khoa Khám bệnh - Bệnh viện chỉnh hình và phục hồi chức năng Đà Nẵng","0236 3888 100","95 Quang Trung, Thạch Thang, Hải Châu, Đà Nẵng","","","","","","K16, K38, K02","T05","H14658.jpg",
"H14659","Khoa Răng Hàm Mặt - Bệnh viện Đa khoa tỉnh Nam Định","0228 3868 171","2 Trần Quốc Toản, Ngô Quyền, Nam Định, Nam Định","","","","","","K24","T05","",
"H14660","Khoa Răng Hàm Mặt - Bệnh viện Đa khoa tỉnh Kiên Giang","0297 3863 328","46 Lê Lợi, Vĩnh Thanh Vân, Rạch Giá, Kiên Giang","","","","","","K24","T05","",
